구분,화면·항목,Jira키,GitLab,상태,비고
온보딩,W-01 로그인/랜딩,S15P11A307-314,#10,완료,"소셜(Google·네이버)+이메일 폼, 반응형·검증 완료"
온보딩,W-02 계정 만들기,S15P11A307-315,#10,완료,이메일 중복확인·비번 강도·실명/전화(비공개·운영목적)
온보딩,W-02b 본인인증(KYC),S15P11A307-316,#10,완료,통신사 PASS Mock·성인 확인·신분증 제외
온보딩,W-03 목적별 동의,S15P11A307-461,#10,완료,opt-in·필수 잠금·전체동의·통합 리스트
온보딩,W-04 기본 프로필,S15P11A307-317,#10,완료,현재 라우트 stub(미구현)
홈·알림,W-08 홈,S15P11A307-462,-,완료,와이어프레임만 존재
홈·알림,W-18 알림 센터,S15P11A307-463,-,미착수,와이어프레임만 존재
세션,— (FE-B 담당),-,-,해당없음,W-11/12/13
세션 후,— (FE-B 담당),-,-,해당없음,W-14/15/16/17
챗봇·AI화상,— (FE-B 담당),-,-,해당없음,W-10/10b/21~24
계정관리,W-19 마이페이지,S15P11A307-464,-,완료,
계정관리,W-19b 개인정보 수정·관리,S15P11A307-465,-,완료,
계정관리,AUTH-03 동의관리,S15P11A307-466,-,미착수,FE-CONSENT-02
관리자,W-40 운영 대시보드,S15P11A307-467,-,미착수,
관리자,W-41 신고·회원 관리,S15P11A307-468,-,미착수,
관리자,W-42 정책 설정,S15P11A307-469,-,미착수,
횡단,폼검증(RHF+Zod),-,#10,완료,로그인·가입·동의 화면 적용
횡단,웹 접근성(WCAG/KWCAG),-,#10,진행중,"aria·포커스·대비 반영, 전면 감사 미완"
횡단,권한 라우팅,-,#10,완료,ProtectedRoute 공개/보호 분리
횡단,토큰/세션 보안,-,-,진행중,"tokenStore+axios 401 인터셉터, refresh 재발급 TODO"
,,,,,
"mockups/desktop/W-04.html 기반으로 디자인 시스템과 컴포넌트 등 정해진 규약대로 일단은 W-04 기본프로필 페이지 구현하는데, 커스텀이 가능한 부분 보기 제공해줘.",,,,,
